file_name,ticker,SHORT_NAME,COUNTRY_ISO,COUNTRY_FULL_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_SECTOR_NAME,INDUSTRY_GROUP,INDUSTRY_SECTOR,year_last,n_datapoints,CUR_MKT_CAP
fork.us.txt,FORK US Equity,FULING GLOBAL IN,CN,CHINA,Consumer Durables & Apparel,Consumer Discretionary,Packaging&Containers,Industrial,2017,488,30659300.22
spcb.us.txt,SPCB US Equity,SUPERCOM LTD,IL,ISRAEL,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,1046,29645303.86
link.us.txt,LINK US Equity,INTERLINK ELEC,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,914,29496667.2
pati.us.txt,PATI US Equity,PATRIOT TRANSPOR,US,UNITED STATES,Transportation,Industrials,Transportation,Industrial,2017,535,28774417.08
eng.us.txt,ENG US Equity,ENGLOBAL CORP,US,UNITED STATES,Energy,Energy,Electronics,Industrial,2017,3201,28655463.26
nm.us.txt,NM US Equity,NAVIOS MARITIME,GR,GREECE,Transportation,Industrials,Transportation,Industrial,2017,3199,27608178.2
btn.us.txt,BTN US Equity,BALLANTYNE STRON,US,UNITED STATES,Media & Entertainment,Communication Services,Electronics,Industrial,2017,3185,27251330.58
scx.us.txt,SCX US Equity,STARRETT (LS)-A,US,UNITED STATES,Capital Goods,Industrials,Hand/Machine Tools,Industrial,2017,3194,25231253
sif.us.txt,SIF US Equity,SIFCO INDUSTRIES,US,UNITED STATES,Capital Goods,Industrials,Aerospace/Defense,Industrial,2017,3051,25194993.02
cpst.us.txt,CPST US Equity,CAPSTONE TURBINE,US,UNITED STATES,Capital Goods,Industrials,Electrical Compo&Equip,Industrial,2017,3201,23707498.59
qrhc.us.txt,QRHC US Equity,QUEST RESOURCE H,US,UNITED STATES,Commercial & Professional Serv,Industrials,Environmental Control,Industrial,2017,1842,22796604.28
efoi.us.txt,EFOI US Equity,ENERGY FOCUS INC,US,UNITED STATES,Capital Goods,Industrials,Building Materials,Industrial,2017,2312,21566445.03
isns.us.txt,ISNS US Equity,IMAGE SENSING,US,UNITED STATES,Technology Hardware & Equipmen,Information Technology,Electronics,Industrial,2017,3099,21540467.96
osn.us.txt,OSN US Equity,OSSEN INNOVA-ADR,CN,CHINA,Materials,Materials,Building Materials,Industrial,2017,1628,21242459.14
cvr.us.txt,CVR US Equity,CHICAGO RIVET,US,UNITED STATES,Capital Goods,Industrials,Metal Fabricate/Hardware,Industrial,2017,2545,21170077.61
astc.us.txt,ASTC US Equity,ASTROTECH CORP,US,UNITED STATES,Capital Goods,Industrials,Aerospace/Defense,Industrial,2017,3200,20860555.22
